,url,desc,full_desc,requirements,popu_tags,game_name
59844,https://store.steampowered.com/bundle/8801/The_Hex__Original_Soundtrack/?snr=1_7_7_230_150_2391,-,,-,-,The_Hex__Original_Soundtrack
59845,https://store.steampowered.com/bundle/8804/The_Walking_Dead_Season_9/?snr=1_7_7_230_150_2391,-,,-,-,The_Walking_Dead_Season_9
59850,https://store.steampowered.com/bundle/8889/Red_vs_Blue_The_Shisno_Paradox/?snr=1_7_7_230_150_2391,-,,-,-,Red_vs_Blue_The_Shisno_Paradox
59851,https://store.steampowered.com/bundle/8914/8Floor_Music_Bundle/?snr=1_7_7_230_150_2391,-,,-,-,8Floor_Music_Bundle
59856,https://store.steampowered.com/bundle/8322/All_Soundtracks/?snr=1_7_7_230_150_2392,-,,-,-,All_Soundtracks
59866,https://store.steampowered.com/bundle/8360/Bajo_Games_Complete/?snr=1_7_7_230_150_2392,-,,-,-,Bajo_Games_Complete
59868,https://store.steampowered.com/bundle/8539/Rainbow_mercenary_and_Starter_Pack/?snr=1_7_7_230_150_2392,-,,-,-,Rainbow_mercenary_and_Starter_Pack
59869,https://store.steampowered.com/bundle/8540/Gravity_Jump__OST/?snr=1_7_7_230_150_2392,-,,-,-,Gravity_Jump__OST
59871,https://store.steampowered.com/bundle/8562/Repeat_the_image_Animals__OST/?snr=1_7_7_230_150_2392,-,,-,-,Repeat_the_image_Animals__OST
59872,https://store.steampowered.com/bundle/8565/_The_famous_diver__OST/?snr=1_7_7_230_150_2392,-,,-,-,_The_famous_diver__OST
59876,https://store.steampowered.com/bundle/8753/TS_Marketplace_GP402_Mini_Scenario_Pack_Twin_Pack/?snr=1_7_7_230_150_2392,-,,-,-,TS_Marketplace_GP402_Mini_Scenario_Pack_Twin_Pack
59912,https://store.steampowered.com/bundle/4448/EightMinute_Empire_New_Lands_Maps_Pack/?snr=1_7_7_230_150_2394,-,,-,-,EightMinute_Empire_New_Lands_Maps_Pack
59913,https://store.steampowered.com/bundle/4478/Game__Soundtrack/?snr=1_7_7_230_150_2394,-,,-,-,Game__Soundtrack
